,Year,"General savings deposits Nominal interest, % per year","General savings deposits Real interest, % per year","Time deposits Nominal interest, % per year","Time deposits Real interest, % per year","Bills of exchange 60 days Nominal interest, % per year","Bills of exchange 60 days Real interest, % per year","General loans, bonds Nominal interest, % per year","General loans, bonds Real interest, % per year","Indexed securities Nominal interest, % per year","Indexed securities Real interest, % per year","Penalty rates Nominal interest, % per year","Penalty rates Real interest, % per year"
0,1960,8.7,2.0,9.4,2.6,11.1,4.2,10.7,3.8,.,.,..,..
1,1961,7.0,-6.5,8.0,-5.6,9.5,-4.3,9.5,-4.3,.,.,..,..
2,1962,7.0,-0.9,8.0,0.0,9.5,1.4,9.5,1.4,.,.,..,..
3,1963,7.0,-6.4,8.0,-5.5,9.5,-4.2,9.5,-4.2,.,.,..,..
4,1964,7.0,-4.3,8.0,-3.4,9.5,-2.1,9.5,-2.1,.,.,..,..
5,1965,6.0,-6.1,7.0,-5.2,8.4,-4.0,9.0,-3.5,.,.,12.0,-0.8
6,1966,7.0,-1.2,8.0,-0.3,9.5,1.1,10.0,1.6,.,.,12.0,3.4
7,1967,7.0,2.5,8.0,3.4,9.5,4.9,10.0,5.4,.,.,12.0,7.3
8,1968,7.0,-8.0,8.0,-7.1,9.5,-5.8,9.2,-6.1,.,.,12.0,-3.7
9,1969,7.0,-12.2,8.0,-11.3,9.5,-10.1,9.2,-10.3,.,.,12.0,-8.0
10,1970,7.0,-8.8,8.0,-7.9,9.5,-6.6,9.2,-6.9,.,.,12.0,-4.5
11,1971,7.0,3.9,8.0,4.9,9.5,6.3,9.2,6.0,.,.,12.0,8.7
12,1972,7.0,-7.2,8.0,-6.3,9.5,-5.0,9.2,-5.3,.,.,12.0,-2.9
13,1973,8.3,-17.3,9.7,-16.3,10.9,-15.3,12.1,-14.4,.,.,16.0,-11.5
14,1974,10.8,-28.1,12.3,-27.1,14.4,-25.8,15.9,-24.8,.,.,20.8,-21.6
15,1975,13.0,-19.9,14.5,-18.8,17.6,-16.6,18.8,-15.7,.,.,24.0,-12.1
16,1976,13.0,-12.5,14.5,-11.3,18.2,-8.4,19.5,-7.4,.,.,24.7,-3.4
17,1977,13.3,-15.0,24.0,-7.0,19.2,-10.6,20.7,-9.5,.,.,32.5,-0.6
18,1978,18.6,-19.2,31.6,-10.4,26.6,-13.8,27.2,-13.4,.,.,36.0,-7.4
19,1979,22.8,-20.6,35.5,-12.4,29.1,-16.5,30.9,-15.4,.,.,45.0,-6.3
20,1980,33.3,-12.6,45.0,-5.0,40.0,-8.3,39.9,-8.3,56.1,2.3,55.8,2.1
21,1981,34.4,-8.9,45.9,-1.2,39.8,-5.3,45.1,-1.7,51.3,2.5,55.3,5.2
22,1982,35.3,-15.7,61.8,0.8,40.4,-12.5,45.4,-9.4,65.2,2.9,58.0,-1.6
23,1983,38.7,-20.0,74.7,0.7,44.6,-16.6,48.8,-14.2,78.6,3.0,58.2,-8.8
24,1984,16.1,-2.4,22.7,3.2,23.2,3.6,23.0,3.4,25.4,5.5,31.5,10.6
25,1985,22.7,-9.5,39.4,2.8,36.0,0.3,32.5,-2.3,42.4,5.0,44.0,6.2
26,1986,11.5,-2.8,18.0,2.9,20.3,4.9,19.6,4.3,20.5,5.1,30.5,13.8
27,1987,13.3,-7.3,26.1,3.2,28.7,5.3,27.9,4.7,31.6,7.7,35.9,11.2
28,1988,16.7,-2.0,23.2,3.4,34.0,12.5,33.2,11.8,30.1,9.2,43.9,20.8
29,1989,11.2,-8.6,24.8,2.6,29.4,6.4,29.5,6.5,31.1,7.8,35.9,11.8
30,1990,3.7,-3.2,13.6,6.0,17.0,9.2,17.1,9.3,15.7,8.0,26.0,17.6
31,1991,4.8,-2.7,15.2,7.0,19.0,10.5,18.4,10.0,17.5,9.2,25.0,16.1
32,1992,1.2,-0.3,8.2,6.5,13.3,11.5,13.5,11.8,11.0,9.3,19.5,17.7
33,1993,0.8,-2.1,9.4,6.2,15.1,11.8,14.8,11.5,12.4,9.1,17.7,14.3
34,1994,0.5,-0.7,6.1,4.8,11.9,10.5,10.9,9.5,9.3,7.9,14.2,12.8
35,1995,0.6,-1.0,7.1,5.4,12.5,10.7,11.9,10.1,10.5,8.7,14.6,12.8
36,1996,0.7,-1.3,7.9,5.7,13.3,11.0,12.8,10.5,11.1,8.9,15.8,13.5
37,1997,0.9,-1.1,7.8,5.7,13.9,11.7,13.3,11.1,11.2,9.0,16.3,14.0
38,1998,0.7,-0.5,6.7,5.4,13.8,12.4,13.2,11.8,10.1,8.8,16.5,15.1
39,1999,0.8,-4.6,11.1,5.2,15.2,9.0,14.1,8.0,14.7,8.6,17.3,11.1
40,2000,1.4,-2.6,10.1,5.7,18.8,14.0,17.4,12.7,14.1,9.5,22.0,17.2
41,2001,1.7,-6.4,15.1,6.0,20.1,10.6,18.8,9.4,19.7,10.2,23.7,13.9
42,2002,0.7,-1.3,8.0,5.9,17.1,14.8,16.0,13.7,12.3,10.1,21.3,18.9
43,2003,0.2,-2.4,7.7,4.9,13.1,10.1,12.4,9.4,12.0,9.1,17.3,14.2
44,2004,0.3,-3.5,8.0,3.9,13.7,9.4,12.6,8.4,12.2,8.0,17.3,12.9
45,2005,1.3,-2.8,7.8,3.5,17.2,12.5,15.3,10.7,11.7,7.2,20.3,15.5
46,2006,3.4,-3.3,11.0,3.8,20.9,13.1,18.6,10.9,14.5,7.1,22.5,14.6
47,2007,4.6,-1.2,12.0,5.8,22.9,16.1,20.2,13.5,15.3,8.9,25.0,18.0
48,2008,6.0,-8.9,24.8,7.2,24.6,7.0,21.6,4.5,28.2,10.1,25.8,8.1
49,2009,3.5,-4.7,14.2,5.2,20.9,11.3,17.1,7.8,17.3,8.0,21.2,11.6
50,2010,0.5,-2.0,6.2,3.5,13.9,11.0,10.7,7.9,9.2,6.4,15.1,12.2
51,2011,0.1,-4.8,8.0,2.7,9.4,4.0,7.8,2.5,11.6,6.1,11.4,5.9
52,2012,0.7,-3.6,6.6,2.0,11.4,6.6,8.4,3.7,10.6,5.8,12.4,7.6
53,2013,1.0,-2.6,5.7,1.9,12.4,8.4,8.2,4.3,9.2,5.3,13.0,9.0
54,2014,1.0,0.0,2.9,1.9,11.0,9.9,7.8,6.7,6.4,5.3,13.0,11.9
55,2015,0.8,-1.2,3.9,1.9,9.8,7.6,7.6,5.5,7.3,5.2,12.7,10.5
56,2016,1.4,-0.7,4.0,1.9,4.4,2.3,8.3,6.1,7.5,5.3,13.4,11.1
